stars_join,reg_date,crawl_date,view_cnt,stars,title,webtoon_id,author,ep_id
264,2014.11.22,2015.07.27,16048,9.76,스피너즈,640837,cd_rom03,2
224,2014.11.29,2015.07.27,12422,9.79,스피너즈,640837,cd_rom03,3
220,2014.12.06,2015.07.27,11466,9.75,스피너즈,640837,cd_rom03,4
235,2014.12.13,2015.07.27,11981,9.76,스피너즈,640837,cd_rom03,5
214,2014.12.20,2015.07.27,10843,9.74,스피너즈,640837,cd_rom03,6
213,2014.12.27,2015.07.27,10881,9.74,스피너즈,640837,cd_rom03,7
169,2015.01.03,2015.07.27,7312,9.67,스피너즈,640837,cd_rom03,8
191,2015.01.10,2015.07.27,6127,9.70,스피너즈,640837,cd_rom03,9
213,2015.01.18,2015.07.27,10827,9.69,스피너즈,640837,cd_rom03,10
211,2015.01.26,2015.07.27,11523,9.73,스피너즈,640837,cd_rom03,11
212,2015.02.04,2015.07.27,10615,9.65,스피너즈,640837,cd_rom03,12
205,2015.02.13,2015.07.27,13028,9.51,스피너즈,640837,cd_rom03,13
232,2015.02.27,2015.07.27,10110,9.72,스피너즈,640837,cd_rom03,14
237,2015.03.08,2015.07.27,10362,9.69,스피너즈,640837,cd_rom03,15
215,2015.03.19,2015.07.27,10910,9.61,스피너즈,640837,cd_rom03,16
205,2015.03.28,2015.07.27,9554,9.63,스피너즈,640837,cd_rom03,17
203,2015.04.06,2015.07.27,9948,9.75,스피너즈,640837,cd_rom03,18
184,2015.04.16,2015.07.27,7023,9.65,스피너즈,640837,cd_rom03,19
204,2015.04.22,2015.07.27,8822,9.76,스피너즈,640837,cd_rom03,21
202,2015.05.02,2015.07.27,7966,9.50,스피너즈,640837,cd_rom03,22
167,2015.05.14,2015.07.27,6990,9.66,스피너즈,640837,cd_rom03,23
151,2015.05.22,2015.07.27,5303,9.70,스피너즈,640837,cd_rom03,24
170,2015.05.30,2015.07.27,6405,9.66,스피너즈,640837,cd_rom03,25
220,2015.06.07,2015.07.27,6400,9.93,스피너즈,640837,cd_rom03,26
192,2015.06.17,2015.07.27,6610,9.85,스피너즈,640837,cd_rom03,27
160,2015.06.26,2015.07.27,5674,9.88,스피너즈,640837,cd_rom03,28
164,2015.07.07,2015.07.27,5954,9.92,스피너즈,640837,cd_rom03,29
99,2015.07.15,2015.07.27,2927,9.88,스피너즈,640837,cd_rom03,30
147,2015.07.18,2015.07.27,6145,9.92,스피너즈,640837,cd_rom03,31
7,2015.07.27,2015.07.27,64,10.00,스피너즈,640837,cd_rom03,32
284,2014.06.02,2015.07.27,19317,9.86,송양 게스트 하우스,602595,euissom24,6
282,2014.06.03,2015.07.27,15916,9.84,송양 게스트 하우스,602595,euissom24,7
277,2014.06.15,2015.07.27,14017,9.87,송양 게스트 하우스,602595,euissom24,8
275,2014.06.19,2015.07.27,13484,9.92,송양 게스트 하우스,602595,euissom24,9
250,2014.08.28,2015.07.27,12537,9.91,송양 게스트 하우스,602595,euissom24,10
322,2014.09.06,2015.07.27,12274,9.93,송양 게스트 하우스,602595,euissom24,11
245,2014.10.26,2015.07.27,10800,9.81,송양 게스트 하우스,602595,euissom24,12
